"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"SMARTseq colData (day 5)","Per-cell metadata for day 5 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/coldata-day5.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","meta_data.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq size factors (day 1)","Size factors for day 1 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/sizefac-day1.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","size_factors.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq size factors (day 2)","Size factors for day 2 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/sizefac-day2.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","size_factors.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq size factors (day 3)","Size factors for day 3 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/sizefac-day3.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","size_factors.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq size factors (day 4)","Size factors for day 4 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/sizefac-day4.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","size_factors.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq size factors (day 5)","Size factors for day 5 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/sizefac-day5.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","size_factors.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq reduced dimensions (day 1)","Reduced dimensions for day 1 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/reduced-dims-day1.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","reduced_dims.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq reduced dimensions (day 2)","Reduced dimensions for day 2 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/reduced-dims-day2.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","reduced_dims.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq reduced dimensions (day 3)","Reduced dimensions for day 3 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/reduced-dims-day3.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","reduced_dims.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq reduced dimensions (day 4)","Reduced dimensions for day 4 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/reduced-dims-day4.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","reduced_dims.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
"SMARTseq reduced dimensions (day 5)","Reduced dimensions for day 5 for the mouse ageing thymus SMART-seq2 single-cell RNA-seq dataset","MouseThymusAgeing/SMARTseq/1.0.0/reduced-dims-day5.rds","3.13","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/thymus_data","reduced_dims.tsv.gz","Mus musculus","10090",TRUE,"Mike Morgan","Mike Morgan <michael.morgan@cruk.cam.ac.uk>","character","Rds"
